id,player_speed_max,stamina_inc_max,player_decay,inertia_moment,dash_power_rate,player_size,kickable_margin,kick_rand,extra_stamina,effort_max,effort_min,kick_power_rate,foul_detect_probability,catchable_area_l_stretch
0,1.05,45,0.4,5,0.006,0.3,0.7,0.1,50,1,0.6,0.027,0.5,1
1,1.05,44.1738,0.470593,6.76483,0.00613769,0.3,0.760729,0.160729,91.4262,0.834295,0.434295,0.027,0.5,1.24696
2,1.05,42.9363,0.431472,5.78679,0.00634396,0.3,0.60237,0.00237041,82.5644,0.869742,0.469742,0.027,0.5,1.15533
3,1.05,40.7487,0.407135,5.17839,0.00670855,0.3,0.780041,0.180041,73.5789,0.905684,0.505684,0.027,0.5,1.25153
4,1.05,46.7409,0.361287,4.03218,0.00570985,0.3,0.652044,0.0520438,57.4913,0.970035,0.570035,0.027,0.5,1.28758
5,1.05,40.4461,0.308234,2.70585,0.00675898,0.3,0.775261,0.175261,78.3303,0.886679,0.486679,0.027,0.5,1.27499
6,1.05,45.035,0.324365,3.10912,0.00599416,0.3,0.660936,0.0609365,69.3182,0.922727,0.522727,0.027,0.5,1.04454
7,1.05,41.0871,0.367054,4.17635,0.00665215,0.3,0.759323,0.159323,95.7503,0.816999,0.416999,0.027,0.5,1.04335
8,1.05,41.9599,0.33737,3.43424,0.00650669,0.3,0.632239,0.0322392,56.0807,0.975677,0.575677,0.027,0.5,1.21312
9,1.05,42.0026,0.336463,3.41157,0.00649956,0.3,0.706211,0.106211,70.2804,0.918878,0.518878,0.027,0.5,1.08497
10,1.05,43.9434,0.345892,3.6473,0.00617611,0.3,0.726978,0.126978,99.2135,0.803146,0.403146,0.027,0.5,1.20531
11,1.05,44.0033,0.435723,5.89308,0.00616611,0.3,0.658605,0.0586046,80.2522,0.878991,0.478991,0.027,0.5,1.04855
12,1.05,43.0212,0.497782,7.44455,0.0063298,0.3,0.657045,0.0570452,91.9433,0.832227,0.432227,0.027,0.5,1.206
13,1.05,43.2,0.383956,4.59889,0.00629999,0.3,0.720622,0.120622,53.538,0.985848,0.585848,0.027,0.5,1.00104
14,1.05,47.6249,0.432996,5.82491,0.00556252,0.3,0.620417,0.0204172,92.7155,0.829138,0.429138,0.027,0.5,1.0673
15,1.05,46.31,0.3691,4.22751,0.00578167,0.3,0.681152,0.0811524,68.9802,0.924079,0.524079,0.027,0.5,1.18525
16,1.05,48.1321,0.481435,7.03587,0.00547799,0.3,0.740791,0.140791,68.9874,0.924051,0.524051,0.027,0.5,1.22129
17,1.05,46.1996,0.399807,4.99517,0.00580006,0.3,0.744331,0.144331,67.1716,0.931314,0.531314,0.027,0.5,1.16941
